utc_timestamp,Electricity_load,Residential_electricity_price,Residential_solar_generation,Temperature,Relative Humidity
2019-09-30 00:00:00,0.049,0.072639353,0.014,10.7,92.77
2019-09-30 00:15:00,0.068,0.074356745,0.0,10.9,92.97
2019-09-30 00:30:00,0.054,0.060821087,0.028,10.375,93.55
2019-09-30 00:45:00,0.078,0.06051022,0.002,9.85,94.13
2019-09-30 01:00:00,0.054,0.06472019,0.02,10.1,94.38
2019-09-30 01:15:00,0.089,0.087074389,0.025,10.3,94.58
2019-09-30 01:30:00,0.061,0.066791312,0.014,9.775,95.505
2019-09-30 01:45:00,0.066,0.084799616,0.025,9.25,96.43
2019-09-30 02:00:00,0.073,0.057508701,0.032,9.5,96.68
2019-09-30 02:15:00,0.067,0.089928367,0.005,9.7,96.88
2019-09-30 02:30:00,0.081,0.065270519,0.009,9.425,96.785
2019-09-30 02:45:00,0.102,0.053089614,0.047,9.15,96.69
2019-09-30 03:00:00,0.058,0.101585888,0.014,9.4,96.94
2019-09-30 03:15:00,0.085,0.088797959,0.047,9.6,97.14
2019-09-30 03:30:00,0.08,0.070773258,0.043,9.325,97.2
2019-09-30 03:45:00,0.069,0.071163619,0.014,9.05,97.26
2019-09-30 04:00:00,0.081,0.058347278,0.03,9.3,97.51
2019-09-30 04:15:00,0.118,0.069547437,0.056,9.5,97.71
2019-09-30 04:30:00,0.104,0.092469406,0.01,9.175,97.79
2019-09-30 04:45:00,0.08,0.060380478,0.027,8.85,97.87
2019-09-30 05:00:00,0.134,0.074460972,0.077,9.1,98.12
2019-09-30 05:15:00,0.092,0.062348705,0.097,9.3,98.32
2019-09-30 05:30:00,0.127,0.047714246,0.113,9.075,97.96
2019-09-30 05:45:00,0.145,0.06065412,0.106,8.85,97.6
2019-09-30 06:00:00,0.116,0.068209456,0.229,9.1,97.85
2019-09-30 06:15:00,0.142,0.065492602,0.277,9.3,98.05
2019-09-30 06:30:00,0.106,0.070708056,0.339,9.475,96.92
2019-09-30 06:45:00,0.145,0.069762508,0.445,9.65,95.79
2019-09-30 07:00:00,0.116,0.061567715,0.49,9.9,96.04
2019-09-30 07:15:00,0.147,0.062657153,0.59,10.1,96.24
2019-09-30 07:30:00,0.124,0.062620421,0.689,10.425,94.54
2019-09-30 07:45:00,0.126,0.084784576,0.755,10.75,92.84
2019-09-30 08:00:00,0.126,0.037283622,0.798,11.0,93.09
2019-09-30 08:15:00,0.095,0.053235091,0.904,11.2,93.29
2019-09-30 08:30:00,0.091,0.071995753,0.911,11.725,89.855
2019-09-30 08:45:00,0.107,0.07572359,0.95,12.25,86.42
2019-09-30 09:00:00,0.148,0.054972458,1.0,12.5,86.67
2019-09-30 09:15:00,0.113,0.094451982,1.032,12.7,86.87
2019-09-30 09:30:00,0.137,0.065638854,1.094,12.975,83.735
2019-09-30 09:45:00,0.117,0.057761311,1.132,13.25,80.6
2019-09-30 10:00:00,0.101,0.092531261,1.229,13.5,80.85
2019-09-30 10:15:00,0.122,0.059723109,1.306,13.7,81.05
2019-09-30 10:30:00,0.092,0.055806153,1.378,13.625,79.525
2019-09-30 10:45:00,0.122,0.074669524,1.466,13.55,78.0
2019-09-30 11:00:00,0.096,0.083888318,1.44,13.8,78.25
2019-09-30 11:15:00,0.109,0.079475354,1.368,14.0,78.45
2019-09-30 11:30:00,0.13,0.073432141,1.343,13.775,77.52
2019-09-30 11:45:00,0.098,0.069213981,1.345,13.55,76.59
2019-09-30 12:00:00,0.098,0.06737987,1.312,13.8,76.84
2019-09-30 12:15:00,0.095,0.068540003,1.275,14.0,77.04
2019-09-30 12:30:00,0.098,0.08822081,1.264,13.675,76.95
2019-09-30 12:45:00,0.135,0.083535008,1.248,13.35,76.86
2019-09-30 13:00:00,0.096,0.062534459,1.189,13.6,77.11
2019-09-30 13:15:00,0.116,0.057221468,1.175,13.8,77.31
2019-09-30 13:30:00,0.112,0.061777066,1.102,13.325,79.06
2019-09-30 13:45:00,0.091,0.078829201,1.062,12.85,80.81
2019-09-30 14:00:00,0.093,0.058862814,0.986,13.1,81.06
2019-09-30 14:15:00,0.1,0.070732341,0.852,13.3,81.26
2019-09-30 14:30:00,0.119,0.073924082,0.765,12.725,83.54
2019-09-30 14:45:00,0.13,0.05141388,0.633,12.15,85.82
2019-09-30 15:00:00,0.109,0.062001405,0.511,12.4,86.07
2019-09-30 15:15:00,0.101,0.085511453,0.468,12.6,86.27
2019-09-30 15:30:00,0.137,0.07905572,0.388,11.975,88.72
2019-09-30 15:45:00,0.089,0.075860076,0.258,11.35,91.17
2019-09-30 16:00:00,0.095,0.070356304,0.229,11.6,91.42
2019-09-30 16:15:00,0.141,0.060252822,0.19,11.8,91.62
2019-09-30 16:30:00,0.094,0.051806721,0.147,11.325,92.475
2019-09-30 16:45:00,0.116,0.088719058,0.131,10.85,93.33
2019-09-30 17:00:00,0.117,0.068505524,0.106,11.1,93.58
2019-09-30 17:15:00,0.123,0.085678479,0.078,11.3,93.78
2019-09-30 17:30:00,0.089,0.097717444,0.035,10.925,94.14
2019-09-30 17:45:00,0.101,0.065373372,0.003,10.55,94.5
2019-09-30 18:00:00,0.103,0.084787963,0.0,10.8,94.75
2019-09-30 18:15:00,0.092,0.071075976,0.039,11.0,94.95
2019-09-30 18:30:00,0.12,0.105303106,0.02,10.725,94.74
2019-09-30 18:45:00,0.106,0.077833057,0.012,10.45,94.53
2019-09-30 19:00:00,0.08,0.066698999,0.024,10.7,94.78
2019-09-30 19:15:00,0.118,0.067882832,0.001,10.9,94.98
2019-09-30 19:30:00,0.113,0.080521409,0.0,10.625,94.85
2019-09-30 19:45:00,0.123,0.057649635,0.014,10.35,94.72
2019-09-30 20:00:00,0.126,0.091257371,0.0,10.6,94.97
2019-09-30 20:15:00,0.108,0.075440505,0.017,10.8,95.17
2019-09-30 20:30:00,0.112,0.051925169,0.0,10.525,95.135
2019-09-30 20:45:00,0.101,0.073291056,0.049,10.25,95.1
2019-09-30 21:00:00,0.107,0.086828026,0.018,10.5,95.35
2019-09-30 21:15:00,0.087,0.070065363,0.023,10.7,95.55
2019-09-30 21:30:00,0.098,0.056651116,0.041,10.475,95.27
2019-09-30 21:45:00,0.082,0.062030177,0.048,10.25,94.99
2019-09-30 22:00:00,0.102,0.068790673,0.01,10.5,95.24
2019-09-30 22:15:00,0.063,0.084672443,0.015,10.7,95.44
2019-09-30 22:30:00,0.088,0.074624443,0.036,10.425,95.365
2019-09-30 22:45:00,0.112,0.07200541,0.0,10.15,95.29
2019-09-30 23:00:00,0.101,0.079549016,0.038,10.4,95.54
2019-09-30 23:15:00,0.072,0.053252948,0.046,10.6,95.74
2019-09-30 23:30:00,0.088,0.042305301,0.003,6.375,95.485
2019-09-30 23:45:00,0.077,0.060530057,0.021,2.15,95.23
2019-10-01 00:00:00,0.064,0.063516913,0.05,2.4,95.48
2019-10-01 00:15:00,0.101,0.081626811,0.031,2.6,95.68
2019-10-01 00:30:00,0.111,0.087329928,0.047,2.525,94.98
2019-10-01 00:45:00,0.096,0.075791839,0.015,2.45,94.28
2019-10-01 01:00:00,0.102,0.082805173,0.027,2.7,94.53
2019-10-01 01:15:00,0.057,0.044487202,0.045,2.9,94.73
2019-10-01 01:30:00,0.053,0.052115759,0.047,2.875,94.295
2019-10-01 01:45:00,0.086,0.046221039,0.049,2.85,93.86
2019-10-01 02:00:00,0.065,0.067361234,0.002,3.1,94.11
2019-10-01 02:15:00,0.064,0.055082114,0.0,3.3,94.31
2019-10-01 02:30:00,0.074,0.045809335,0.019,3.325,93.63
2019-10-01 02:45:00,0.107,0.061552237,0.016,3.35,92.95
2019-10-01 03:00:00,0.116,0.045085208,0.019,3.6,93.2
2019-10-01 03:15:00,0.061,0.064390872,0.036,3.8,93.4
2019-10-01 03:30:00,0.082,0.066343956,0.016,3.825,92.485
2019-10-01 03:45:00,0.094,0.061570165,0.021,3.85,91.57
2019-10-01 04:00:00,0.111,0.0682934,0.015,4.1,91.82
2019-10-01 04:15:00,0.079,0.073269239,0.043,4.3,92.02
2019-10-01 04:30:00,0.084,0.051614225,0.013,4.275,91.025
2019-10-01 04:45:00,0.126,0.051620653,0.036,4.25,90.03
2019-10-01 05:00:00,0.136,0.068778144,0.045,4.5,90.28
2019-10-01 05:15:00,0.113,0.073137065,0.108,4.7,90.48
2019-10-01 05:30:00,0.131,0.07847437,0.117,4.625,89.63
2019-10-01 05:45:00,0.095,0.028160221,0.097,4.55,88.78
2019-10-01 06:00:00,0.145,0.08181726,0.183,4.8,89.03
2019-10-01 06:15:00,0.104,0.056951905,0.218,5.0,89.23
2019-10-01 06:30:00,0.093,0.067594645,0.324,4.875,88.535
2019-10-01 06:45:00,0.133,0.047954279,0.368,4.75,87.84
2019-10-01 07:00:00,0.12,0.048875032,0.466,5.0,88.09
2019-10-01 07:15:00,0.128,0.046970054,0.55,5.2,88.29
2019-10-01 07:30:00,0.118,0.081585133,0.624,5.075,87.2
2019-10-01 07:45:00,0.107,0.050015676,0.749,4.95,86.11
2019-10-01 08:00:00,0.104,0.029318153,0.785,5.2,86.36
2019-10-01 08:15:00,0.119,0.075335466,0.847,5.4,86.56
